DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
59150004004,0.0066,0.0648,,0.0054,0.0591,0.0388,0.05,,0.0257,0.016,0
59150004005,0.0065,0.0405,,0.0057,0.0506,0.035,0.0451,,0.0238,0.0094,0
59150004006,0.0048,0.0269,,0.0032,0.1419,0.0392,0.0505,,0.0323,0.0089,0
59150004011,0.0034,0.0463,,0.002,0.0405,0.0425,0.0548,,0.0271,0.0132,0
59150004012,0.0027,0.0239,,0.0015,0.0329,0.0445,0.0573,,0.0303,0.0081,0
59150004013,0.0025,,,0.0012,,,,,,,0
59150004014,0.0007,0.0136,,,,,,,0.0211,0.0004,0
59150004017,0.0007,0.008,,,,,,,0.0125,0.0002,0
59150004018,0.0017,0.0136,,0.0024,,,,,0.0211,0.0001,0
59150004019,0.001,,,0.0004,,,,,,0.0001,0
59150005003,0.0046,0.0093,,0.0027,0.0272,0.044,0.0567,,0.0375,0.0063,0
59150005007,0.003,0.008,,0.0016,0.0177,0.0762,0.0982,,0.0305,0.0073,0
59150005015,0.0025,,,0.001,,,,,,,0
59150005016,0.0044,0.0179,,0.0029,0.0489,0.0477,0.0614,,0.069,0.0103,0
59150005017,0.0042,0.0165,,0.0027,0.0457,0.0528,0.068,,0.0688,0.0094,0
59150006004,0.004,0.0074,,0.0022,0.0196,0.0489,0.063,,0.0562,0.0065,0
59150006005,0.0041,0.0084,,0.0025,0.0228,0.0557,0.0719,,0.0484,0.0094,0
59150006006,0.0038,0.0074,,0.0024,0.0196,0.0501,0.0646,,0.0348,0.0071,0
59150006007,0.0037,0.007,,0.002,0.0184,0.046,0.0593,,0.0411,0.0048,0
59150006010,0.0039,,,0.0023,,0.035,0.0451,,0.0285,0.0021,0
59150006011,0.0042,0.019,,0.0025,0.0987,0.0384,0.0495,,0.0374,0.0089,0
59150007002,0.0018,,,0.0008,,,,,0.0102,,0
59150007006,0.0017,,,0.0008,,,,,0.0301,,0
59150007007,0.0034,,,0.0016,,0.0377,0.0485,,0.0766,0.0028,0
59150007008,0.0038,0.0068,,0.0018,0.0186,0.0291,0.0375,,0.0272,0.002,0
59150007009,0.0023,,,0.0009,,,,,0.0302,0.0002,0
59150008003,0.0034,,0.0077,0.0012,,0.0435,,,0.0292,0.001,0
59150008006,0.0044,,0.012,0.0033,,0.066,,,0.0573,0.0021,0
59150008007,0.0032,,0.0088,0.0016,,0.0763,0.0344,,0.0649,0.0033,0
59150008008,0.0027,,,0.0014,,0.0311,0.0401,,0.0539,0.0016,0
59150008009,0.0028,,,0.0015,,0.0392,0.0505,,,0.0018,0
59150009001,0.0033,,,0.0017,,0.0377,0.0485,,0.0109,0.003,0
59150009002,0.0032,,,0.0016,,0.0373,0.0481,,0.0101,0.0026,0
59150009003,0.003,,,0.002,,0.1547,0.1994,,0.0133,0.0087,0
59150009008,0.0025,,,0.0011,,0.035,0.0451,,0.0492,0.0015,0
59150009009,0.0027,,,0.0017,,0.028,0.0361,,0.0647,0.0015,0
59150009018,0.002,,,0.0007,,0.0495,0.0638,,0.012,0.0028,0
59150009019,0.0019,,,0.0001,,0.028,0.0361,,,0.0007,0
59150009021,0.0025,,,0.0008,,0.0335,0.0432,,,0.0005,0
59150009022,0.0024,,,0.001,,0.0408,0.0526,,,0.0018,0
59150010001,0.0035,,0.0116,0.001,,0.0639,,,0.0161,0.0013,0
59150010003,0.0042,,0.0148,0.0035,,0.0808,,,0.0418,0.0067,0
59150010004,0.0042,,0.0126,0.0031,,0.0695,,,0.0489,0.002,0
59150010005,0.0043,,0.0114,0.0019,,0.0628,,,0.0565,0.0015,0
59150010011,0.0019,,,,,0.028,0.0361,,,0.0007,0
59150010012,0.0027,,,0.001,,0.0288,0.0372,,,0.001,0
59150010013,0.0039,,0.0166,0.0029,,0.0904,,,0.0521,0.0056,0
59150010014,0.0028,,0.0099,0.0002,,0.055,,,0.0139,0.0012,0
59150012001,0.0051,,,0.0027,,,0.0447,,0.0137,0.0026,0
