DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
59152013003,0.0622,0.0064,0.0492,0.0056,,0.0309,0.0398,,0.2047,0.0062,0
59152014003,0.0615,0.0328,0.0376,0.0064,,0.0656,0.0845,,0.0713,0.0071,0
59152014004,0.0621,0.0259,0.0661,0.0064,,0.0471,0.0607,0.1151,0.0943,0.0033,0
59152014005,0.064,0.0236,0.0766,0.0063,,0.0674,0.0869,0.0549,0.1311,0.0054,0
59152014006,0.0638,0.0302,0.0587,0.0069,,0.0514,0.0662,0.0545,0.1009,0.0066,0
59152015001,0.063,0.0078,0.0578,0.0066,,0.0577,0.0743,0.1118,0.0847,0.0062,0
59152015002,0.0631,0.0076,0.0578,0.0066,,0.0576,0.0743,0.1109,0.0856,0.0062,0
59152015003,0.066,0.0168,0.1015,0.0071,,0.0648,0.0835,0.1128,0.0888,0.008,0
59152016003,0.0648,0.0315,0.0604,0.008,0.0076,0.0276,0.0356,0.1327,0.0716,0.011,1
59152016004,0.0642,0.0248,0.0518,0.0074,0.0089,,,0.0761,0.0615,0.0114,0
59152016005,0.0641,0.0226,0.0698,0.0074,0.0076,0.0286,0.0369,0.1221,0.0936,0.0098,1
59152016006,0.0723,0.1079,0.0627,0.0099,0.0786,,,0.1553,0.0631,0.0383,0
59152016007,0.067,0.0297,0.038,0.0085,0.0729,,,0.0707,0.0346,0.0117,0
59152017003,0.0624,0.0145,0.0463,0.0059,0.0088,0.0321,0.0414,0.0512,0.1024,0.0101,1
59152017004,0.0701,0.0482,0.0589,0.0117,0.0916,,,0.0844,0.0794,0.0221,0
59152017005,0.0686,0.0431,0.0556,0.0106,0.0846,,,0.0796,0.0802,0.0211,0
59152018006,0.0589,0.0391,0.031,0.0066,,,,0.1207,0.0367,0.0112,0
59152019001,0.065,0.1015,0.1277,0.0091,0.0333,0.0686,0.0884,0.1356,0.0219,0.0097,1
59152019002,0.0662,0.0656,0.0701,0.0087,0.0379,0.0392,0.0505,0.1684,0.0211,0.0145,1
59152021001,0.0573,0.0138,0.0743,0.0067,,0.0999,0.1287,0.0512,0.0342,0.0039,0
59152021003,0.0586,0.0216,0.0796,0.007,0.0289,0.0971,0.1251,0.054,0.0334,0.0047,1
59152021004,0.0589,0.0135,0.0689,0.0073,0.036,0.0701,0.0903,0.049,0.0293,0.003,1
59152022001,0.0549,,0.1028,0.0056,0.0164,0.136,0.1753,,0.09,0.0047,0
59152022002,0.0427,0.0072,0.0564,0.0019,,0.0884,0.114,,0.0858,0.0015,0
59152022003,0.0515,,0.0271,0.0054,,0.0338,0.0436,,0.0318,0.0006,0
59152022004,0.0521,,0.0447,0.0059,,0.043,0.0554,,0.0685,0.0012,0
59152024001,0.0532,0.0161,0.1003,0.0061,0.0337,0.1698,0.2189,0.0545,0.1061,0.0066,1
59152025001,0.0654,0.0394,0.082,0.0094,,0.0843,0.1087,0.0721,0.0457,0.0108,0
59152025002,0.0614,0.0385,0.0767,0.0072,,0.1156,0.149,0.0761,0.058,0.0191,0
59152025003,0.056,0.0245,0.0764,0.0074,,0.1177,0.1517,,0.0775,0.0105,0
59152026002,0.0611,0.1039,0.0702,0.0081,0.0291,0.0796,0.1026,0.1788,0.0506,0.0105,1
59152026005,0.062,0.0805,0.0745,0.0095,0.0223,0.1247,0.1608,0.1148,0.0334,0.0109,1
59152027002,0.0627,0.0792,0.0733,0.0095,0.0217,0.1211,0.156,0.1112,0.0323,0.0105,1
59152027003,0.0606,0.0605,0.0751,0.0085,,0.1264,0.1629,0.0973,0.0388,0.0058,0
59152028004,0.0519,0.0308,0.0649,0.0061,,0.1612,0.2078,0.0721,0.0548,0.0025,0
59152029001,0.0678,0.0456,0.0604,0.0074,0.0253,0.0891,0.1149,0.1095,0.083,0.0035,1
59152029002,0.0573,0.0292,0.0725,0.0071,,0.0785,0.1011,0.0934,0.026,0.0009,0
59152029003,0.0571,0.0331,0.0551,0.0061,,0.0903,0.1164,0.0753,0.055,0.0003,0
59152030001,0.0583,0.0377,0.0641,0.006,,0.1128,0.1454,0.0737,0.0876,0.0012,0
59152030002,0.0579,0.0331,0.0606,0.0057,,0.0952,0.1227,0.0618,0.044,0.0001,0
59152030003,0.0603,0.0596,0.092,0.0066,,0.1124,0.1449,0.0647,0.0645,0.0011,0
59152032005,0.0651,0.0805,0.0938,0.0081,0.1182,0.0906,0.1168,0.256,0.0547,0.0165,1
59152032008,0.0714,0.0884,0.1053,0.0068,0.1525,0.0646,0.0833,0.246,0.0402,0.0191,1
59152032009,0.0669,0.0906,0.0881,0.0096,0.1156,0.0738,0.0952,0.1808,0.0625,0.0357,1
59152032010,0.0771,0.0808,0.0805,0.0098,0.0925,0.0763,0.0983,0.1934,0.0596,0.0272,1
59152032011,0.0636,0.0678,0.0644,0.0087,0.0852,0.074,0.0954,0.1273,0.0398,0.0265,1
59152033001,0.0593,0.0202,0.0337,0.0065,,0.1847,0.238,0.0504,0.1419,0.0013,0
59152033002,0.053,0.009,0.027,0.0044,,0.0921,0.1613,,0.0716,0.0008,0
59152033003,0.0491,,0.0066,0.0032,,0.0683,0.123,,0.0474,0.0001,0
